Chembl ID;Smiles;IC50;pIC50;MolWt;nHA;nHD;MolLogP;category
CHEMBL1088301;O=C(Nc1cccc(C(=O)c2ccc(Cl)cc2)c1)C1=C(O)c2ccccc2S(=O)(=O)N1;95300.0;-4.979092900638326;454.89100000000013;5;3;3.728200000000002;intermediate
CHEMBL409468;NS(=O)(=O)c1ccc(-c2nc(NCc3ccco3)cc(C(F)(F)F)n2)cc1;2790.0;-3.4456042032735974;398.36600000000004;6;2;3.0149000000000017;intermediate
CHEMBL2347673;CCSc1nc(-c2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1;110.0;-2.041392685158225;392.9330000000001;4;1;4.912600000000004;active
CHEMBL1080405;CCc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1;240.0;-2.380211241711606;345.346;4;2;3.6491000000000007;active
CHEMBL442164;CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1;14.0;-1.146128035678238;362.372;2;0;4.841400000000004;active
CHEMBL219893;CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OCCO)c(F)c2)cc1;56000.0;-4.748188027006201;410.85400000000016;6;1;3.1064000000000016;intermediate
CHEMBL259678;CS(=O)(=O)c1ccc(-c2nc(NCc3cc(F)cc(F)c3)cc(C(F)(F)F)n2)cc1;300.3;-2.477555332198981;443.39700000000005;5;1;4.456200000000003;active
CHEMBL3774572;CC(C(=O)O)c1ccc(-c2cccc(OC(=O)NC3CC3)c2)c(F)c1;74300.0;-4.870988813760575;343.3540000000001;3;2;3.931600000000002;intermediate
CHEMBL13920;C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2;15.0;-1.1760912590556813;298.42600000000004;2;0;4.640300000000004;active
CHEMBL29923;Cc1cccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)c1;109.65;-2.0400086360135417;381.3790000000001;4;1;3.5139200000000015;active
CHEMBL29456;COc1c(F)cc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F;346.74;-2.5400039448500267;415.3680000000001;5;1;3.4111000000000002;active
CHEMBL3809154;COC(=O)CNC(=O)CNC(=O)OCc1ccccc1;1000.0;-3.0;280.28;5;2;0.20200000000000018;active
CHEMBL282838;NS(=O)(=O)c1ccc(-n2nc(CO)cc2-c2ccc(Cl)cc2)cc1;831.76;-2.9199980309640186;363.826;5;2;2.3324000000000007;active
CHEMBL170780;CS(=O)(=O)c1ccc(-c2ccccc2-c2ccc3ccccc3n2)cc1;57000.0;-4.7558748556724915;359.45000000000005;3;0;4.972300000000004;intermediate
